country,western,NielsenWEIRD,population,percent_children,population_density,surface_area,urban_pc,religiosity_index,cip,household_size,individualism,gdp_total,gdp_per_capita,education_index,democracy_index,GINI_index,ethnic_fractionalization,UN_Recode
Yemen,no,no,30.49,38.42,57.8,528,36.6,0.99,0,6.67268064092928,NA,24935,855,0.349,1.95,36.7,0.126,
Zambia,no,no,18.92,43.57,25.5,753,43.5,0.96,0.00600451364088004,5.13078885536711,NA,23085,1292,0.58,5.72,57.1,0.706,
Zimbabwe,no,no,15.09,41.32,39,391,32.2,0.97,0.009045747396988,4.07717933273453,NA,21441,1464,0.558,2.92,50.3,0.415,
Congo-Kinshasa,no,no,NA,45.61,NA,NA,NA,0.95,NA,5.3020675050332,NA,NA,NA,0.496,1.4,NA,NA,Democratic Republic of the Congo
!!Kosovo,no,no,NA,NA,NA,NA,NA,0.87,NA,NA,NA,7953,4473,NA,NA,29.0,NA,Kosovo
!!Nagorno Karabakh,no,no,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azerbaijan
!!Northern Cyprus,no,no,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,31.2,0.347,Cyprus
!!Somaliland,no,no,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somalia
Taiwan,no,no,NA,NA,NA,NA,NA,0.47,0.2964423147486,NA,17,NA,NA,NA,8.99,NA,0.373,China
!!Zanzibar,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,1806,1111,NA,NA,NA,NA,Tansania
